Sample,Mean Wind Power,Standard Deviation,Average,Variability,NN output,MSE
1,3212.395833,449.7522765,0.321239583,0.149917426,0.326764464,3.05E-05
2,2744.896667,524.8941085,0.274489667,0.174964703,0.271675527,7.92E-06
3,7734.072917,1594.31568,0.773407292,0.53143856,0.785738826,0.000152067
4,8707.417917,678.8381056,0.870741792,0.226279369,0.863455653,5.31E-05
5,8138.364583,1161.101042,0.813836458,0.387033681,0.813039899,6.35E-07
6,7149.722083,875.1772176,0.714972208,0.291725739,0.720403552,2.95E-05
7,2006.68875,865.163894,0.200668875,0.288387965,0.206275746,3.14E-05
8,1354.805833,758.0584391,0.135480583,0.252686146,0.135091573,1.51E-07
9,5145.245417,833.4876839,0.514524542,0.277829228,0.519677937,2.66E-05
10,3355.052917,1159.868216,0.335505292,0.386622739,0.337380528,3.52E-06
11,5224.0825,786.4546525,0.52240825,0.262151551,0.516326189,3.70E-05
12,7046.537917,1607.175748,0.704653792,0.535725249,0.711907446,5.26E-05
13,6049.981667,1602.629309,0.604998167,0.53420977,0.59582305,8.42E-05
14,8030.245833,419.3519579,0.803024583,0.139783986,0.80369091,4.44E-07
15,5933.277083,2060.831325,0.593327708,0.686943775,0.600134909,4.63E-05
16,8449.292083,371.718886,0.844929208,0.123906295,0.837799191,5.08E-05
17,5881.285833,1985.395773,0.588128583,0.661798591,0.585586607,6.46E-06
18,6668.548333,929.3376408,0.666854833,0.309779214,0.640794635,0.000679134
19,8231.582917,848.5618521,0.823158292,0.282853951,0.823920965,5.82E-07
20,5926.330417,1401.264756,0.592633042,0.467088252,0.592151463,2.32E-07
21,4020.942083,1580.640784,0.402094208,0.526880261,0.407886922,3.36E-05
22,7265.929583,1559.662141,0.726592958,0.51988738,0.724301934,5.25E-06
23,5888.35,1609.619087,0.588835,0.536539696,0.582100689,4.54E-05
24,8578.67625,391.2616259,0.857867625,0.130420542,0.85633409,2.35E-06
25,6013.779167,1203.42227,0.601377917,0.401140757,0.600607216,5.94E-07
26,6656.093333,1425.69739,0.665609333,0.475232463,0.66325891,5.52E-06
27,6908.591667,1994.426828,0.690859167,0.664808943,0.689737558,1.26E-06
28,5132.327917,764.0234663,0.513232792,0.254674489,0.51752466,1.84E-05
29,8667.702083,883.5715216,0.866770208,0.294523841,0.865130424,2.69E-06
30,8151.480417,1020.956121,0.815148042,0.340318707,0.815239787,8.42E-09
31,2708.443333,1478.291766,0.270844333,0.492763922,0.27425456,1.16E-05
32,4095.682083,1442.382844,0.409568208,0.480794281,0.408567697,1.00E-06
33,3083.476667,1456.036434,0.308347667,0.485345478,0.309611827,1.60E-06
34,2971.344583,1644.056991,0.297134458,0.548018997,0.291828662,2.82E-05
35,4437.795417,1854.731819,0.443779542,0.61824394,0.445364416,2.51E-06
36,7258.150417,996.250225,0.725815042,0.332083408,0.735751033,9.87E-05
37,6239.624167,872.5393941,0.623962417,0.290846465,0.632632554,7.52E-05
38,5763.8875,1279.447912,0.57638875,0.426482637,0.575666189,5.22E-07
39,1736.027917,1445.710505,0.173602792,0.481903502,0.174438357,6.98E-07
40,4032.209167,787.2073585,0.403220917,0.262402453,0.390621245,0.000158752
41,2064.270833,1763.396711,0.206427083,0.587798904,0.209100544,7.15E-06
42,5256.95,2189.833943,0.525695,0.729944648,0.532382131,4.47E-05
43,3641.417917,2403.704917,0.364141792,0.801234972,0.360204339,1.55E-05
44,6709.995833,1159.038275,0.670999583,0.386346092,0.673332691,5.44E-06
45,4112.862083,565.5847342,0.411286208,0.188528245,0.419478953,6.71E-05
46,4840.35125,892.3311985,0.484035125,0.297443733,0.505328298,0.000453399
47,4241.80625,2166.652248,0.424180625,0.722217416,0.420386225,1.44E-05
48,6899.934167,732.1390858,0.689993417,0.244046362,0.685772419,1.78E-05
49,6423.740833,1115.913535,0.642374083,0.371971178,0.63996768,5.79E-06
