Sample,Mean Wind Power,Standard Deviation,Average,Variability,,,
1,2037.36375,1197.57172,0.203736375,0.399190573,,,
2,3437.089167,696.9429838,0.343708917,0.232314328,,,
3,5629.447083,1154.329296,0.562944708,0.384776432,,,
4,6290.325833,2627.317718,0.629032583,0.875772573,,,
5,6303.080833,1141.237252,0.630308083,0.380412417,,,
6,4945.155417,2257.453982,0.494515542,0.752484661,,,
7,6170.327083,2331.174173,0.617032708,0.777058058,,,
8,6271.562917,2098.23417,0.627156292,0.69941139,,,
9,6553.95125,1811.930226,0.655395125,0.603976742,,,
10,7522.705833,533.8395752,0.752270583,0.177946525,,,
11,6094.420833,777.0685575,0.609442083,0.259022853,,,
12,6681.410833,1792.937011,0.668141083,0.59764567,,,
13,3563.774583,508.7010262,0.356377458,0.169567009,,,
14,1860.252917,1058.339907,0.186025292,0.352779969,,,
15,5244.78125,1720.057045,0.524478125,0.573352348,,,
16,6752.261667,1021.250798,0.675226167,0.340416933,,,
17,2166.33625,726.2444667,0.216633625,0.242081489,,,
18,7360.483333,1089.967765,0.736048333,0.363322588,,,
19,8188.59,1284.693359,0.818859,0.42823112,,,
20,5099.464583,1480.689133,0.509946458,0.493563044,,,
21,6824.790417,937.3119964,0.682479042,0.312437332,,,
22,1553.05,846.3505941,0.155305,0.282116865,,,
23,5053.862083,1948.705968,0.505386208,0.649568656,,,
24,4323.9275,1595.540191,0.43239275,0.53184673,,,
25,5612.992917,1151.968475,0.561299292,0.383989492,,,
26,3805.562083,1752.632975,0.380556208,0.584210992,,,
27,4382.047917,2232.909291,0.438204792,0.744303097,,,
28,1830.074167,1055.739898,0.183007417,0.351913299,,,
29,4401.797917,1367.277242,0.440179792,0.455759081,,,
30,7536.315,343.8182317,0.7536315,0.114606077,,,
31,7991.991667,493.6168155,0.799199167,0.164538939,,,
32,3754.6525,1224.892643,0.37546525,0.408297548,,,
33,3011.599583,1400.660137,0.301159958,0.466886712,,,
34,3885.15125,1505.96037,0.388515125,0.50198679,,,
