"Market Day	",Hour Ending,MWh
41640,1,3916.94
41640,2,3884.92
41640,3,3866.15
41640,4,3803.32
41640,5,3659.99
41640,6,3502.91
41640,7,3512.7
41640,8,3431.44
41640,9,3375.19
41640,10,3251.98
41640,11,3299.29
41640,12,3157.93
41640,13,3013.82
41640,14,2793.37
41640,15,2717.81
41640,16,2803.11
41640,17,3071.4
41640,18,3166.44
41640,19,3151.86
41640,20,3202.41
41640,21,3060.06
41640,22,2833.19
41640,23,2409.07
41640,24,2212.2
41641,1,2268.92
41641,2,2370.66
41641,3,2615.12
41641,4,2695.75
41641,5,2724.52
41641,6,2780.52
41641,7,3054.12
41641,8,3504.57
41641,9,3560.63
41641,10,3314.47
41641,11,2883.25
41641,12,2511.59
41641,13,2360.75
41641,14,2212.35
41641,15,2049.35
41641,16,2002.68
41641,17,2068.45
41641,18,2241.39
41641,19,2553.67
41641,20,2688.67
41641,21,2833.81
41641,22,3293.63
41641,23,3457.9
41641,24,3830.75
41642,1,4112.39
41642,2,4594.06
41642,3,4760.16
41642,4,5866.07
41642,5,6388.74
41642,6,6719.16
41642,7,6916.08
41642,8,7456.4
41642,9,8128.21
41642,10,8244.55
41642,11,8136.84
41642,12,8308.29
41642,13,8201.74
41642,14,7925.55
41642,15,8212.82
41642,16,8257.63
41642,17,8436.36
41642,18,8616.05
41642,19,9048.53
41642,20,9373.11
41642,21,9366.5
41642,22,9480.27
41642,23,9433.93
41642,24,9634.31
41643,1,9408.02
41643,2,9495.9
41643,3,9333.26
41643,4,9225.98
41643,5,9175.41
41643,6,8800.95
41643,7,9093.81
41643,8,9395.74
41643,9,9592.61
41643,10,9635.69
41643,11,9384.83
41643,12,9144.72
41643,13,8700.86
41643,14,8541.23
41643,15,8391.14
41643,16,8445.6
41643,17,8248.76
41643,18,7975.33
41643,19,7612.73
41643,20,7643.69
41643,21,7981.76
41643,22,7966.48
41643,23,7869.84
41643,24,7913.69
41644,1,7523.07
41644,2,7304.88
41644,3,7131.15
41644,4,6748.69
41644,5,6604.61
41644,6,6759.91
41644,7,7069.1
41644,8,7472.02
41644,9,7065.21
41644,10,6734.81
41644,11,6970.49
41644,12,7396.05
41644,13,8085.46
41644,14,8900.56
41644,15,9118
41644,16,9200.65
41644,17,9214.99
41644,18,9601.48
41644,19,9671.7
41644,20,9702.8
41644,21,9505.28
41644,22,9492.94
41644,23,9212.9
41644,24,8834
41645,1,8447.5
41645,2,8260.41
41645,3,8036.5
41645,4,7717.01
41645,5,7525.77
41645,6,7157.41
41645,7,7025.79
41645,8,6839.7
41645,9,6599.73
41645,10,6613.4
41645,11,7064.69
41645,12,7569.36
41645,13,7697.23
41645,14,7717.02
41645,15,7896.47
41645,16,7860.97
41645,17,7879.92
41645,18,7639.95
41645,19,6953.94
41645,20,6464.96
41645,21,6187.02
41645,22,5828.91
41645,23,5549.44
41645,24,5060.23
41646,1,4699.66
41646,2,3632.17
41646,3,3094.83
41646,4,2537.03
41646,5,2491.77
41646,6,2601.57
41646,7,2490.18
41646,8,2405.45
41646,9,2158.25
41646,10,1992.91
41646,11,1754.71
41646,12,1527.69
41646,13,1340.77
41646,14,1335.44
41646,15,1347.08
41646,16,1389.86
41646,17,1327.8
41646,18,1262.38
41646,19,1288.24
41646,20,1464.22
41646,21,1521.35
41646,22,1562.41
41646,23,1532.53
41646,24,1402.23
41647,1,1397.48
41647,2,1572.45
41647,3,1453.23
41647,4,1338.45
41647,5,1391.45
41647,6,1306.09
41647,7,1294.3
41647,8,1319.33
41647,9,1152.56
41647,10,903.39
41647,11,596.64
41647,12,502.88
41647,13,569.51
41647,14,631.16
41647,15,597.15
41647,16,652
41647,17,739.39
41647,18,960.3
41647,19,1331.75
41647,20,1759.58
41647,21,2148.87
41647,22,2581.15
41647,23,2986.98
41647,24,3329.25
41648,1,3603.81
41648,2,3814.76
41648,3,3961.26
41648,4,4146.61
41648,5,4456.95
41648,6,4929.9
41648,7,5099.3
41648,8,5660.32
41648,9,6117.01
41648,10,5920.49
41648,11,5492.11
41648,12,5032.72
41648,13,4880.2
41648,14,4697.4
41648,15,4635.87
41648,16,4576.1
41648,17,4766.01
41648,18,5138.34
41648,19,5528.44
41648,20,5851.71
41648,21,6180.33
41648,22,6213.15
41648,23,6343.52
41648,24,6439.58
41649,1,6151.42
41649,2,5744.62
41649,3,5154.06
41649,4,4444.53
41649,5,3925.26
41649,6,3780.64
41649,7,3673.68
41649,8,3578.31
41649,9,3488.28
41649,10,3336.44
41649,11,3165.96
41649,12,2939.59
41649,13,2718.62
41649,14,2139.39
41649,15,2076.5
41649,16,2116.83
41649,17,1911.77
41649,18,1945.88
41649,19,2111.8
41649,20,2516.68
41649,21,2799.23
41649,22,3215.99
41649,23,3681.66
41649,24,3904.13
41650,1,4224.3
41650,2,4410.09
41650,3,4479.28
41650,4,4398.66
41650,5,4665.41
41650,6,4945.82
41650,7,5175.58
41650,8,5556.47
41650,9,6057.11
41650,10,5976.57
41650,11,5489.87
41650,12,5688.02
41650,13,6066.53
41650,14,6230.09
41650,15,5713.38
41650,16,5146.4
41650,17,4577.72
41650,18,4363.09
41650,19,4582.5
41650,20,4448.53
41650,21,4492.97
41650,22,5352.88
41650,23,6211.88
41650,24,7124.83
41651,1,7443.44
41651,2,7900.1
41651,3,8042.38
